Episode,Loss
763,42740444.421875
764,41219538.5390625
765,40061823.79296875
766,39732371.046875
767,41908252.578125
768,39398382.00390625
769,39916538.26171875
770,40570893.68359375
771,38734016.6796875
772,37531707.99609375
773,38299254.79296875
774,36808482.9140625
775,38255556.6875
776,37677857.85546875
777,38027361.83984375
778,39137922.625
779,38018307.984375
780,38655069.890625
781,38687908.78125
782,39248563.2578125
783,38673166.09375
784,40223628.984375
785,38413930.390625
786,39967848.85546875
787,39979729.9453125
788,40189091.51953125
789,39586295.6484375
790,37935323.5625
791,37563160.046875
792,38944847.93359375
793,38810420.0
794,36367790.6875
795,35815139.39453125
796,35806172.1796875
797,37645227.76953125
798,37817134.619140625
799,39218351.08203125
800,36719777.203125
801,35512580.9296875
802,36602323.04296875
803,37181441.82421875
804,36228655.859375
805,37683053.14453125
806,37618588.6875
807,39148075.12890625
808,36910735.69921875
809,36641613.578125
810,36082857.5703125
811,37164720.86328125
812,35878727.05859375
813,35061556.97265625
814,35359722.2265625
815,34408964.98828125
816,35957492.359375
817,35904617.0078125
818,36145118.09765625
819,34205199.921875
820,33512914.421875
821,33272492.0625
822,33864030.56640625
823,33732105.11328125
824,33192728.609375
825,33191169.54296875
826,33156332.73046875
827,33377481.4296875
828,32892182.63671875
829,33447965.5625
830,33088718.12109375
831,34203909.76953125
832,32989546.26953125
833,33180191.99609375
834,32812459.546875
835,33821439.29296875
836,33165264.65234375
837,34166843.65234375
838,33013242.92578125
839,33160767.56640625
840,34155668.56640625
841,34563170.4296875
842,33456388.18359375
843,32542510.91796875
844,34157356.0859375
845,34074337.734375
846,34198503.77734375
847,34187362.015625
848,35781392.21875
849,35217821.3125
850,35620334.43359375
851,36327090.61328125
852,37699410.5078125
853,38112801.9609375
854,37343511.90625
855,36972493.74609375
856,36855752.51171875
857,36462941.65625
858,37061905.14453125
859,35279445.05078125
860,35203159.40625
861,37487086.25
862,36875861.8515625
863,36803571.25
864,36878799.6328125
865,37529135.94140625
866,36697304.4375
867,37255691.8828125
868,39535364.55078125
869,39782126.9921875
870,39124625.703125
871,37244754.39453125
872,35230135.0625
873,35888156.43359375
874,38307483.34765625
875,38484233.97265625
876,39100101.19140625
877,37727016.87109375
878,36762702.71484375
879,36195691.24609375
880,36305071.11328125
881,36760668.50390625
882,36485870.82421875
883,36817416.69140625
884,38593718.29296875
885,36602716.0
886,36119004.37890625
887,37275652.078125
888,39048538.484375
889,38446517.79296875
890,39596060.87890625
891,36548925.7265625
892,39236162.203125
893,37178736.7890625
894,37257199.4609375
895,38133361.19921875
896,36388219.462890625
897,35860894.02734375
898,36303945.0546875
899,38026635.5078125
900,36372012.56640625
901,35740193.48828125
902,35640693.53515625
903,38118736.0234375
904,34673578.05859375
905,35210192.6328125
906,35789865.28125
907,34576429.796875
908,35306533.61328125
909,35651342.9375
910,36581109.59765625
911,36064511.62890625
912,35870930.484375
913,34573549.65625
914,35650229.5390625
915,35128728.828125
916,33318026.80859375
917,33544888.63671875
918,33390365.94921875
919,34742787.015625
920,33096466.91015625
921,33063158.9140625
922,32492291.171875
923,31789492.89453125
924,33111003.8359375
925,31999842.6640625
926,32438931.61328125
927,31697767.109375
928,30843944.03515625
929,30815387.58984375
930,31955293.328125
931,32453062.328125
932,31354653.51171875
933,31168106.22265625
934,31943173.00390625
935,31994921.23828125
936,31107111.994140625
937,31829706.3125
938,31360511.048828125
939,33984498.203125
940,32030932.828125
941,33245470.1875
942,31791335.3828125
943,31344608.02734375
944,31625147.6328125
945,30314259.8984375
946,30409094.375
947,31493245.85546875
948,31238363.3828125
949,32483152.97265625
950,32310054.37890625
951,31502386.1328125
952,31333715.17578125
953,31047487.66796875
954,31968796.109375
955,32944303.328125
956,32141576.05859375
957,32383188.4921875
958,33184865.1328125
959,33117667.91015625
960,33111788.8359375
961,31513162.73046875
962,32981495.1328125
963,33058261.2890625
964,34030915.08203125
965,35428325.30859375
966,32801534.58203125
967,35102778.0859375
968,34046993.546875
969,33887241.328125
970,33279947.0390625
971,33712133.5234375
972,33421631.953125
973,34410002.23828125
974,33689725.7265625
975,33749518.4375
976,33390932.7421875
977,33519161.08984375
978,33264060.63671875
979,34741791.1015625
980,33299048.98828125
981,32126808.16015625
982,32510553.24609375
983,29524655.9140625
984,30516408.0
985,31796413.734375
986,31635104.0859375
987,32560448.78125
988,32857510.92578125
989,31087662.66015625
990,29412128.92578125
991,29882409.26171875
992,28922243.61328125
993,28208213.234375
994,27965540.984375
995,27960687.73828125
996,29032250.703125
997,28940666.60546875
998,28998114.04296875
999,27589266.5625
1000,27987927.921875
1001,27565579.421875
1002,28897266.1171875
1003,29239797.015625
1004,29811737.15625
1005,30512573.71875
1006,29119973.509765625
1007,27907831.798828125
1008,28555784.53125
1009,29742438.1875
1010,30328902.37890625
1011,28687694.1796875
1012,27635758.76953125
1013,28620161.15625
1014,29021119.2421875
1015,28124770.431640625
1016,28440967.369140625
1017,28241129.8828125
1018,27913665.154296875
1019,26427444.865234375
1020,27255624.646484375
1021,27747126.7578125
1022,26304287.484375
1023,26585155.880859375
1024,27387587.27734375
1025,27232187.30078125
1026,26817777.34765625
1027,28406581.7265625
1028,27455788.642578125
1029,26086430.02734375
1030,26584213.107421875
1031,27821323.98828125
1032,25740089.578125
1033,27280051.453125
1034,26559588.765625
1035,26598261.396484375
1036,26927754.63671875
1037,26467379.095703125
1038,26740533.671875
1039,26819023.30859375
1040,27823407.0
1041,27839218.841796875
1042,28005099.220703125
1043,27940927.62109375
1044,28060494.35546875
1045,28402036.0234375
1046,28059123.71484375
1047,28114148.73046875
1048,28712369.75
1049,29496042.8671875
1050,29031311.41015625
1051,29562316.4296875
1052,28561576.703125
1053,28750487.21484375
1054,27552476.265625
1055,26672583.546875
1056,26753379.259765625
1057,27865483.140625
1058,28314500.453125
1059,27875385.9140625
1060,27359964.32421875
1061,27572245.74609375
1062,28097110.96484375
1063,27542589.4921875
1064,28524995.37109375
1065,30048501.02734375
1066,28555710.2578125
1067,28192717.9921875
1068,27561736.53515625
1069,28719343.50390625
1070,28712015.13671875
1071,29864091.888671875
1072,28766625.421875
1073,29744750.76171875
1074,29596659.86328125
1075,29961250.68359375
1076,29017693.193359375
1077,30258519.26171875
1078,29154653.88671875
1079,29450957.41015625
1080,30044235.2109375
1081,30442544.671875
1082,28690506.009765625
1083,28505125.609375
1084,29593338.45703125
1085,30523463.83203125
1086,30192800.375
1087,29039889.88671875
1088,30843742.91796875
1089,32371632.6953125
1090,32961904.078125
1091,35984828.2578125
1092,35193716.80859375
1093,34544585.8125
1094,34260131.67578125
1095,34091808.99609375
1096,32007492.6484375
1097,34039412.61328125
1098,31936860.83203125
1099,32206930.39453125
1100,35259761.421875
1101,36697689.23046875
1102,38359484.33984375
1103,37510405.28515625
1104,39368262.6875
1105,38533896.91796875
1106,37814459.57421875
1107,39214990.46875
1108,39913321.15234375
1109,39123074.55859375
1110,38707113.859375
1111,40022725.14453125
1112,41657977.94140625
1113,42781018.4765625
1114,43837952.80859375
1115,45098311.4453125
1116,44305629.6953125
1117,43770053.171875
1118,45127815.76953125
1119,44600533.4140625
1120,44066136.171875
1121,44880245.56640625
1122,47861742.15625
1123,47063464.03515625
1124,48351331.6015625
1125,48013246.1875
1126,47994198.46875
1127,46463871.78515625
1128,47178997.0390625
1129,47841169.421875
1130,46634432.609375
1131,46568939.1953125
1132,47047123.3125
1133,48852422.859375
1134,49042537.30859375
1135,48238373.734375
1136,49857994.5703125
1137,49608835.09375
1138,48760007.203125
1139,50744970.4921875
1140,50245066.1796875
1141,51661052.390625
1142,49211809.9296875
1143,49149199.80078125
1144,47817001.17578125
1145,48139849.7890625
1146,45849084.06640625
1147,45521255.16015625
1148,43058175.125
1149,45940907.7109375
1150,43755207.62890625
1151,42122637.75
1152,42520491.16796875
1153,41897986.07421875
1154,41489412.0
1155,43140456.13671875
1156,43325311.32421875
1157,40724733.03125
1158,43123378.97265625
1159,43464141.12109375
1160,43325460.1015625
1161,44368195.24609375
1162,44030466.171875
1163,41325100.8359375
1164,39903458.85546875
1165,39303178.4765625
1166,40148111.0703125
1167,39694977.82421875
1168,39925861.0234375
1169,40037524.5859375
1170,38701270.8046875
1171,37292943.60546875
1172,36002873.3046875
1173,38006080.0703125
1174,36168089.30859375
1175,35596726.3125
1176,35982800.6015625
1177,35711817.22265625
1178,35273568.93359375
1179,33906945.126953125
1180,33503065.44140625
1181,31789573.703125
1182,29961671.65625
1183,28798962.390625
1184,28011213.484375
1185,27607398.36328125
1186,27726773.64453125
1187,25772748.68359375
1188,25524203.921875
1189,25362592.693359375
1190,23573896.556640625
1191,23311818.31640625
1192,24402636.84765625
1193,21796891.8359375
1194,22145740.55859375
1195,20817640.74609375
1196,21232080.46875
1197,21471677.099609375
1198,20761185.73046875
1199,20747377.341796875
1200,19873552.24609375
1201,19458237.69140625
1202,19262796.94140625
1203,18597608.404296875
1204,19252144.37109375
1205,19217984.6015625
1206,19275147.048828125
1207,18863622.09765625
1208,18913188.580078125
1209,18240796.12890625
1210,18248623.931640625
1211,18231261.189453125
1212,17812101.6484375
1213,18629214.708984375
1214,17939745.33984375
1215,17321820.7578125
1216,17428653.322265625
1217,17433216.09375
1218,16544448.5859375
1219,16954602.521484375
1220,16491821.6640625
1221,16086810.767578125
1222,15503177.859375
1223,16068910.17578125
1224,16402783.908203125
1225,16038923.78125
